	model	type	pairid	expected	unexpected	diff	acc
0	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	1	13.59266757965088	12.089207649230955	1.5034599304199254	False
1	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	2	10.218002319335938	12.648432731628418	-2.4304304122924805	True
2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	3	9.694507598876951	12.361122131347656	-2.666614532470705	True
3	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	4	13.345250129699709	11.542529106140137	1.802721023559572	False
4	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	5	12.023210525512695	15.030095100402832	-3.0068845748901367	True
5	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	6	13.522782325744627	10.525166511535645	2.9976158142089826	False
6	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	7	10.272828102111816	12.684941291809082	-2.4121131896972656	True
7	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	8	13.28672695159912	11.407031059265137	1.8796958923339826	False
8	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	9	11.515316009521484	13.057506561279297	-1.5421905517578125	True
9	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	10	12.295063018798828	10.961341857910156	1.3337211608886719	False
10	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	11	12.496731758117676	14.220476150512695	-1.7237443923950195	True
11	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	12	14.188934326171877	13.003945350646973	1.1849889755249041	False
12	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	13	10.849102973937988	13.5087890625	-2.6596860885620117	True
13	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	14	13.778190612792969	11.736738204956056	2.0414524078369123	False
14	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	15	10.800246238708496	13.87138843536377	-3.0711421966552734	True
15	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	16	13.297574996948242	12.339825630187988	0.9577493667602539	False
16	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	17	11.586549758911133	14.829022407531738	-3.2424726486206055	True
17	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	18	13.803181648254396	11.34825611114502	2.4549255371093768	False
18	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	19	10.998072624206545	13.011488914489746	-2.0134162902832013	True
19	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	20	13.691853523254396	11.945649147033691	1.746204376220705	False
20	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	21	12.490852355957031	15.060501098632812	-2.5696487426757812	True
21	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	22	13.859904289245604	11.899270057678224	1.9606342315673793	False
22	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	23	15.759199142456056	13.141352653503418	2.6178464889526385	False
23	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	24	12.449654579162598	11.119993209838867	1.3296613693237305	False
24	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	25	11.22734546661377	13.766027450561523	-2.538681983947754	True
25	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasNL2	type1	26	13.280774116516112	11.445775032043455	1.8349990844726562	False
