token	sentid	word	wordpos	model	tokenizer	punctuation	prob	surp
the	1	The	0	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.9875648617744446	0.018052591010928154
jan	1	janitor	1	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.0007892373250797391	10.307252883911133
##itor	1	janitor	1	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.9999903440475464	1.3930527529737446e-05
rep	1	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.0007177505758590996	10.444230079650879
##rima	1	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.007436505053192377	7.071159362792969
##nded	1	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.9693752527236938	0.044872839003801346
the	1	the	3	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.9980289340019226	0.002846426796168089
account	1	accountant	4	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.0032570248004049063	8.262229919433594
##ant	1	accountant	4	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.9990845918655396	0.001321253483183682
because	1	because	5	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.9720506072044373	0.0408966988325119
she	1	she	6	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.5663890838623047	0.820134699344635
made	1	made	7	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.9718677997589111	0.04116799682378769
a	1	a	8	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.8954405784606934	0.15933042764663696
mistake	1	mistake	9	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.015386453829705715	6.022195339202881
fil	1	filing	10	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	1.3253379620437045e-06	19.52520751953125
##ing	1	filing	10	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.9939879179000854	0.008699771948158741
paper	1	paperwork	11	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.0006953496485948563	10.489974021911621
##work	1	paperwork	11	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.9462798237800598	0.07966120541095734
.	1	.	12	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	True	0.9962069988250732	0.005482523236423731
the	2	The	0	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.9872592091560364	0.018499212339520454
jan	2	janitor	1	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.0008306565578095615	10.233460426330566
##itor	2	janitor	1	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.9999905824661255	1.3586564818979241e-05
rep	2	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.0006765424623154104	10.529531478881836
##rima	2	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.004624468740075827	7.756496429443359
##nded	2	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.9640589952468872	0.052806660532951355
the	2	the	3	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.9979485869407654	0.0029626248870044947
account	2	accountant	4	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.003629013430327177	8.106206893920898
##ant	2	accountant	4	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.9993759989738464	0.0009005639585666358
because	2	because	5	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.9705383777618408	0.04314279556274414
he	2	he	6	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.4157772362232208	1.2661173343658447
made	2	made	7	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.9738582968711853	0.03821621835231781
a	2	a	8	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.882677435874939	0.18004177510738373
mistake	2	mistake	9	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.018196361139416695	5.780206203460693
fil	2	filing	10	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	1.5811667708476307e-06	19.270578384399414
##ing	2	filing	10	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.9946867227554321	0.007685861084610224
paper	2	paperwork	11	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.0006543612107634544	10.577625274658203
##work	2	paperwork	11	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.9477580189704895	0.07740935683250427
.	2	.	12	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	True	0.996117353439331	0.0056123859249055386
the	3	The	0	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.9890738129615784	0.015849901363253593
jan	3	janitor	1	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.0009725196287035942	10.005985260009766
##itor	3	janitor	1	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.999991774559021	1.1866753993672319e-05
rep	3	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.0007112625753507018	10.457329750061035
##rima	3	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.004596982151269913	7.765097141265869
##nded	3	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.9674302339553833	0.04777044802904129
the	3	the	3	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.9978328347206116	0.0031299542170017958
account	3	accountant	4	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.002779290545731783	8.491067886352539
##ant	3	accountant	4	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	False	0.9996017813682556	0.0005746515817008913
