token	sentid	word	wordpos	model	tokenizer	punctuation	prob	surp
the	1	The	0	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9995619654655457	0.0006320697721093893
jan	1	janitor	1	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.19016849994659424	2.3946497440338135
##itor	1	janitor	1	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	1.0	-0.0
rep	1	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.0019737519323825836	8.984843254089355
##rima	1	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.30317413806915283	1.7217813730239868
##nded	1	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9998382329940796	0.00023336158483289182
the	1	the	3	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.999995231628418	6.879289685457479e-06
account	1	accountant	4	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.3719605803489685	1.4267784357070923
##ant	1	accountant	4	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9999996423721313	5.159478746463719e-07
because	1	because	5	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9772547483444214	0.0331934355199337
she	1	she	6	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.4484858214855194	1.1568657159805298
made	1	made	7	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9999818801879883	2.614112599985674e-05
a	1	a	8	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9999723434448242	3.989942342741415e-05
mistake	1	mistake	9	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9999964237213135	5.15947021995089e-06
fil	1	filing	10	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.5474797487258911	0.8691225051879883
##ing	1	filing	10	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9999997615814209	3.4396526871205424e-07
paper	1	paperwork	11	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.4279778003692627	1.2243921756744385
##work	1	paperwork	11	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.999993085861206	9.974958629754838e-06
.	1	.	12	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	True	0.9999992847442627	1.0318955219190684e-06
the	2	The	0	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9995623230934143	0.0006315539940260351
jan	2	janitor	1	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.185651496052742	2.429331064224243
##itor	2	janitor	1	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	1.0	-0.0
rep	2	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.002004730748012662	8.96237564086914
##rima	2	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.31936293840408325	1.6467311382293701
##nded	2	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9998252987861633	0.0002521045389585197
the	2	the	3	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9999964237213135	5.15947021995089e-06
account	2	accountant	4	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.34837350249290466	1.5212931632995605
##ant	2	accountant	4	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9999997615814209	3.4396526871205424e-07
because	2	because	5	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.978549063205719	0.031283892691135406
he	2	he	6	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.5496262907981873	0.8634770512580872
made	2	made	7	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9999865293502808	1.943390816450119e-05
a	2	a	8	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9999680519104004	4.609061579685658e-05
mistake	2	mistake	9	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9999958276748657	6.01938018007786e-06
fil	2	filing	10	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.492383748292923	1.0221449136734009
##ing	2	filing	10	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9999998807907104	1.7198263435602712e-07
paper	2	paperwork	11	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.33712270855903625	1.5686542987823486
##work	2	paperwork	11	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9999910593032837	1.2898641216452233e-05
.	2	.	12	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	True	0.999998927116394	1.5478429986615083e-06
the	3	The	0	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9996010661125183	0.0005756830214522779
jan	3	janitor	1	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.18367430567741394	2.4447782039642334
##itor	3	janitor	1	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	1.0	-0.0
rep	3	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.0035206242464482784	8.14995288848877
##rima	3	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.20672722160816193	2.2741997241973877
##nded	3	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.999874472618103	0.00018108637596014887
the	3	the	3	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9999914169311523	1.2382698514556978e-05
account	3	accountant	4	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.5949431657791138	0.7491762042045593
##ant	3	accountant	4	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9999997615814209	3.4396526871205424e-07
because	3	because	5	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9678246974945068	0.047182340174913406
he	3	he	6	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.4935852289199829	1.0186289548873901
got	3	got	7	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.6275489926338196	0.6721999645233154
less	3	less	8	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.8434166312217712	0.24568267166614532
allow	3	allowance	9	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.00017478853987995535	12.482101440429688
##ance	3	allowance	9	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9998821020126343	0.00017008082068059593
.	3	.	10	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	True	0.9999994039535522	8.599130296715884e-07
the	4	The	0	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasEN2	False	0.9995817542076111	0.0006035328260622919
