token	sentid	word	wordpos	model	tokenizer	punctuation	prob	surp
the	1	The	0	bert-base-multilingual-uncased	bert-base-multilingual-uncased	False	0.7897295951843262	0.3405693471431732
jan	1	janitor	1	bert-base-multilingual-uncased	bert-base-multilingual-uncased	False	0.00023628148483112454	12.047205924987793
##itor	1	janitor	1	bert-base-multilingual-uncased	bert-base-multilingual-uncased	False	0.8840402960777283	0.17781595885753632
rep	1	reprimanded	2	bert-base-multilingual-uncased	bert-base-multilingual-uncased	False	0.0037324600853025913	8.065657615661621
##rima	1	reprimanded	2	bert-base-multilingual-uncased	bert-base-multilingual-uncased	False	0.09324301034212112	3.422860622406006
##nded	1	reprimanded	2	bert-base-multilingual-uncased	bert-base-multilingual-uncased	False	0.9533656239509583	0.06889846920967102
the	1	the	3	bert-base-multilingual-uncased	bert-base-multilingual-uncased	False	0.9217693209648132	0.11752231419086456
account	1	accountant	4	bert-base-multilingual-uncased	bert-base-multilingual-uncased	False	0.0007268344052135944	10.426085472106934
##ant	1	accountant	4	bert-base-multilingual-uncased	bert-base-multilingual-uncased	False	0.8360653519630432	0.2583124041557312
because	1	because	5	bert-base-multilingual-uncased	bert-base-multilingual-uncased	False	0.25242599844932556	1.986067533493042
she	1	she	6	bert-base-multilingual-uncased	bert-base-multilingual-uncased	False	0.014864495024085045	6.071985721588135
made	1	made	7	bert-base-multilingual-uncased	bert-base-multilingual-uncased	False	0.9192053079605103	0.12154094874858856
a	1	a	8	bert-base-multilingual-uncased	bert-base-multilingual-uncased	False	0.8923385739326477	0.1643369197845459
mistake	1	mistake	9	bert-base-multilingual-uncased	bert-base-multilingual-uncased	False	0.009102351032197475	6.779545307159424
fil	1	filing	10	bert-base-multilingual-uncased	bert-base-multilingual-uncased	False	2.209871126979124e-06	18.787607192993164
##ing	1	filing	10	bert-base-multilingual-uncased	bert-base-multilingual-uncased	False	0.9857653975486755	0.020683791488409042
paper	1	paperwork	11	bert-base-multilingual-uncased	bert-base-multilingual-uncased	False	0.00025258760433644056	11.950928688049316
##work	1	paperwork	11	bert-base-multilingual-uncased	bert-base-multilingual-uncased	False	0.2597348988056183	1.9448881149291992
.	1	.	12	bert-base-multilingual-uncased	bert-base-multilingual-uncased	True	0.9505151510238647	0.07321847230195999
the	2	The	0	bert-base-multilingual-uncased	bert-base-multilingual-uncased	False	0.778464674949646	0.36129647493362427
