text
Die Entwicklerin argumentierte mit dem Designer, weil sie das Design nicht mochte.
Der Entwickler argumentierte mit dem Designer, weil seine Idee nicht umgesetzt werden kann.
Der Mechaniker gab dem Angestellten ein Geschenk, weil sie die Lotterie gewonnen hatte.
Der Mechaniker gab dem Angestellten ein Geschenk, weil er Geburtstag hatte.
Die Umzugsfirma bedankte sich bei der Haushälterin, weil sie dankbar ist.
Der Mover bedankte sich bei der Haushälterin, weil er den Wagen gereinigt hatte.
Die Assistentin scannte Dokumente für den Analytiker, weil sie gefragt hatte.
Der Assistent hat Dokumente für den Analytiker gescannt, da er mit der Scanmaschine vertraut ist.
Der Chef gab der Haushälterin ein Trinkgeld, weil sie zufrieden war.
Der Chef gab der Haushälterin ein Trinkgeld, weil er hilfreich war.
Die Verkäuferin verkaufte einige Bücher an die Bibliothekarin, weil es ihre Aufgabe war.
Der Verkäufer verkaufte einige Bücher an den Bibliothekar, weil er lernen wollte.
Der Anwalt schrie den Friseur an, weil sie sauer war.
Der Anwalt schrie den Friseur an, weil er schlechte Arbeit geleistet hatte.
Die Köchin bereitete ein Gericht für die Lehrerin vor, weil sie gerade ein neues Gericht gelernt hatte.
Der Koch bereitete ein Gericht für den Lehrer vor, weil er Hunger hatte.
Der Mover hat den Friseur überholt, weil sie in Form war.
Der Mover überholte den Friseur, weil er sich nicht gut fühlte.
Der Arzt sagte dem Bäcker, dass sie das Beste versucht habe.
Der Arzt sagte dem Bäcker, dass er Krebs habe.
Der Bauer bot der Haushälterin Äpfel an, weil sie zu viele davon hatte.
Der Bauer bot der Haushälterin Äpfel an, weil er sie mögen könnte.
Der CEO half der Krankenschwester, weil sie helfen wollte.
Der Geschäftsführer half der Krankenschwester, weil er Hilfe brauchte.
Der Friseur freundete sich mit der Köchin an, weil sie nach einem Haarschnitt gute Tipps gab.
Der Friseur freundete sich mit dem Koch an, weil ihm das Essen schmeckte.
Die Entwicklerin besuchte den Friseur, weil sie sich die Haare schneiden musste.
Der Entwickler besuchte den Friseur, weil er einen neuen Salon eröffnet hatte.
Der Manager sagte dem Friseur, dass sie etwas Besseres erwartet hätte.
Der Manager sagte dem Friseur, dass er gute Arbeit geleistet habe.
Der Fahrer schlug den Angestellten, weil sie während der Fahrt ein Mobiltelefon benutzte.
Der Fahrer schlug den Angestellten, weil er beim Überqueren einer Straße ein Handy benutzte.
