	model	type	pairid	expected	unexpected	diff	acc
0	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	1	0.0408966988325119	0.0431427955627441	-0.002246096730232197	True
1	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	2	0.0286923740059137	0.0313461609184742	-0.0026537869125604976	True
2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	3	0.0151116345077753	0.0140684992074966	0.0010431353002787	False
3	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	4	0.0110734915360808	0.0110617158934474	1.1775642633401681e-05	False
4	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	5	0.0187413152307271	0.0266443341970443	-0.007903018966317201	True
5	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	6	0.104003757238388	0.0728787332773208	0.0311250239610672	False
6	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	7	0.0237073227763175	0.0217977128922939	0.0019096098840236005	False
7	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	8	0.0219732038676738	0.0217960178852081	0.00017718598246570239	False
8	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	9	0.0188294202089309	0.0214385315775871	-0.0026091113686562	True
9	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	10	0.0325157828629016	0.0281419716775417	0.004373811185359896	False
10	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	11	0.3025323748588562	0.3561260402202606	-0.05359366536140442	True
11	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	12	0.9236112236976624	0.7012450098991394	0.22236621379852295	False
12	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	13	0.0561264902353286	0.0616465806961059	-0.0055200904607773035	True
13	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	14	0.543960690498352	0.5659319758415222	-0.021971285343170166	True
14	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	15	0.0837583169341087	0.0898078307509422	-0.006049513816833496	True
15	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	16	0.2217431664466858	0.2163098007440567	0.005433365702629089	False
16	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	17	0.033178474754095	0.0375600233674049	-0.004381548613309902	True
17	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	18	0.0405579581856727	0.0462434254586696	-0.0056854672729969025	True
18	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	19	0.3260428011417389	0.2699014246463775	0.056141376495361384	False
19	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	20	0.0197417195886373	0.0219908189028501	-0.002249099314212799	True
20	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	21	0.3469801843166351	0.470997154712677	-0.12401697039604193	True
21	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	22	0.0555113293230533	0.055508017539978	3.311783075297947e-06	False
22	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	23	0.0572416558861732	0.0518672540783882	0.0053744018077849995	False
23	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	24	0.106345996260643	0.1303642839193344	-0.024018287658691406	True
24	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	25	0.1226332262158393	0.1368835121393203	-0.014250285923480988	True
25	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	26	0.0886221453547477	0.0920514017343521	-0.003429256379604395	True
26	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	27	0.0798084810376167	0.063614621758461	0.016193859279155703	False
27	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	28	0.2823621034622192	0.3692773282527923	-0.08691522479057312	True
28	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	29	0.5326679348945618	0.8341797590255737	-0.30151182413101196	True
29	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	30	0.0488920882344245	0.0459744073450565	0.0029176808893680017	False
30	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	31	0.1620667278766632	0.1545162200927734	0.007550507783889798	False
31	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	32	0.035126969218254	0.0343288108706474	0.0007981583476065965	False
32	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	33	4.404550552368164	4.205050945281982	0.19949960708618164	False
33	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	34	2.136824131011963	2.693631410598755	-0.556807279586792	True
34	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	35	0.2078470885753631	0.2189909219741821	-0.011143833398818997	True
35	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	36	0.0948848575353622	0.1035109683871269	-0.008626110851764693	True
36	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	37	0.1570170372724533	0.2601633667945862	-0.10314632952213287	True
37	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	38	11.586471557617188	11.900976181030272	-0.31450462341308416	True
38	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	39	0.0453194007277488	0.045702014118433	-0.0003826133906841972	True
39	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	40	0.5507249236106873	0.4810057282447815	0.06971919536590576	False
40	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	41	0.4008046686649322	0.3741495907306671	0.02665507793426508	False
41	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	42	0.1385124325752258	0.1429558843374252	-0.004443451762199402	True
42	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	43	0.0402704887092113	0.0370859131217002	0.0031845755875111043	False
43	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	44	0.0440170019865036	0.0440650433301925	-4.8041343688902394e-05	True
44	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	45	0.1162901744246482	0.1627181619405746	-0.04642798751592639	True
45	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	46	0.163796454668045	0.1266535967588424	0.037142857909202576	False
46	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	47	3.341691017150879	2.63865065574646	0.703040361404419	False
47	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	48	0.2059178948402404	0.1840061694383621	0.0219117254018783	False
48	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/BIAS	type1	49	0.0417567268013954	0.0419817604124546	-0.00022503361105919578	True
