sentid	pairid	type	comparison	sentence	ROI
1	1	type1	predicted	The janitor reprimanded the accountant because she made a mistake filing paperwork.	6
2	1	type1	unpredicted	The janitor reprimanded the accountant because he made a mistake filing paperwork.	6
3	2	type1	predicted	The janitor reprimanded the accountant because he got less allowance.	6
4	2	type1	unpredicted	The janitor reprimanded the accountant because she got less allowance.	6
5	3	type1	predicted	The chief hired the assistant because he needed help with paperwork.	6
6	3	type1	unpredicted	The chief hired the assistant because she needed help with paperwork.	6
7	4	type1	predicted	The chief hired the assistant because she had stellar grades in school.	6
8	4	type1	unpredicted	The chief hired the assistant because he had stellar grades in school.	6
9	5	type1	predicted	The carpenter met with the teacher so that he could fix the cabinets in the classroom.	8
10	5	type1	unpredicted	The carpenter met with the teacher so that she could fix the cabinets in the classroom.	8
11	6	type1	predicted	The carpenter met with the teacher so that she could ask science questions.	8
12	6	type1	unpredicted	The carpenter met with the teacher so that he could ask science questions.	8
13	7	type1	predicted	The lawyer hired the assistant because he needed help with many pending cases.	6
14	7	type1	unpredicted	The lawyer hired the assistant because she needed help with many pending cases.	6
15	8	type1	predicted	The lawyer hired the assistant because she was unemployed.	6
16	8	type1	unpredicted	The lawyer hired the assistant because he was unemployed.	6
17	9	type1	predicted	The laborer was referred to the designer because he was looking to remodel a house.	8
18	9	type1	unpredicted	The laborer was referred to the designer because she was looking to remodel a house.	8
19	10	type1	predicted	The laborer was referred to the designer because she was the best.	8
20	10	type1	unpredicted	The laborer was referred to the designer because he was the best.	8
21	11	type1	predicted	The cook struck a friendship with the clerk because he cooked for one of the office parties.	9
22	11	type1	unpredicted	The cook struck a friendship with the clerk because she cooked for one of the office parties.	9
23	12	type1	predicted	The cook struck a friendship with the clerk because she rated the restaurant favorably.	9
24	12	type1	unpredicted	The cook struck a friendship with the clerk because he rated the restaurant favorably.	9
25	13	type1	predicted	The analyst walked to the cashier because he needed to make a deposit.	7
26	13	type1	unpredicted	The analyst walked to the cashier because she needed to make a deposit.	7
27	14	type1	predicted	The analyst walked to the cashier because she could help to deposit a check.	7
28	14	type1	unpredicted	The analyst walked to the cashier because he could help to deposit a check.	7
29	15	type1	predicted	The guard was a big fan of the writer because he loved romantic novels.	10
30	15	type1	unpredicted	The guard was a big fan of the writer because she loved romantic novels.	10
31	16	type1	predicted	The guard was a big fan of the writer because she was the best at writing romantic novels.	10
32	16	type1	unpredicted	The guard was a big fan of the writer because he was the best at writing romantic novels.	10
33	17	type1	predicted	The lawyer respected the housekeeper because he knew how difficult that job was.	6
34	17	type1	unpredicted	The lawyer respected the housekeeper because she knew how difficult that job was.	6
35	18	type1	predicted	The lawyer respected the housekeeper because she was a hardworking person.	6
36	18	type1	unpredicted	The lawyer respected the housekeeper because he was a hardworking person.	6
37	19	type1	predicted	The cook had to hire the accountant so that he does not have to worry about finances.	9
38	19	type1	unpredicted	The cook had to hire the accountant so that she does not have to worry about finances.	9
39	20	type1	predicted	The cook had to hire the accountant so that she can provide help with financial matters.	9
40	20	type1	unpredicted	The cook had to hire the accountant so that he can provide help with financial matters.	9
41	21	type1	predicted	The CEO liked the hairdresser because he liked the hairstyles provided.	6
42	21	type1	unpredicted	The CEO liked the hairdresser because she liked the hairstyles provided.	6
43	22	type1	predicted	The CEO liked the hairdresser because she was willing to provide after-hour appointments.	6
44	22	type1	unpredicted	The CEO liked the hairdresser because he was willing to provide after-hour appointments.	6
45	23	type1	predicted	The carpenter hired the cleaner because his house was a mess.	6
46	23	type1	unpredicted	The carpenter hired the cleaner because her house was a mess.	6
47	24	type1	predicted	The carpenter hired the cleaner because she was favorably recommended.	6
48	24	type1	unpredicted	The carpenter hired the cleaner because he was favorably recommended.	6
49	25	type1	predicted	The lawyer talked with the counselor because he needed to gather additional evidence for the case.	7
50	25	type1	unpredicted	The lawyer talked with the counselor because she needed to gather additional evidence for the case.	7
51	26	type1	predicted	The lawyer talked with the counselor because she had key information to resolve the case.	7
52	26	type1	unpredicted	The lawyer talked with the counselor because he had key information to resolve the case.	7
53	27	type1	predicted	The developer had a meeting with the teacher so he could develop a new software for taking class attendance.	9
54	27	type1	unpredicted	The developer had a meeting with the teacher so she could develop a new software for taking class attendance.	9
55	28	type1	predicted	The developer had a meeting with the teacher so she could provide feedback on a new software for taking class attendance.	9
56	28	type1	unpredicted	The developer had a meeting with the teacher so he could provide feedback on a new software for taking class attendance.	9
57	29	type1	predicted	The manager promoted the housekeeper because he appreciated the dedication.	6
58	29	type1	unpredicted	The manager promoted the housekeeper because she appreciated the dedication.	6
59	30	type1	predicted	The manager promoted the housekeeper because she was an efficient employee.	6
60	30	type1	unpredicted	The manager promoted the housekeeper because he was an efficient employee.	6
61	31	type1	predicted	The mover went to the house of the editor because he was requested to do so.	10
62	31	type1	unpredicted	The mover went to the house of the editor because she was requested to do so.	10
63	32	type1	predicted	The mover went to the house of the editor because she needed a mover.	10
64	32	type1	unpredicted	The mover went to the house of the editor because he needed a mover.	10
65	33	type1	predicted	The lawyer left the documents with the clerk but he forgot to get a receipt.	9
66	33	type1	unpredicted	The lawyer left the documents with the clerk but she forgot to get a receipt.	9
67	34	type1	predicted	The lawyer left the documents with the clerk but she lost them.	9
68	34	type1	unpredicted	The lawyer left the documents with the clerk but he lost them.	9
69	35	type1	predicted	The farmer knows the editor because he likes the book.	6
70	35	type1	unpredicted	The farmer knows the editor because she likes the book.	6
71	36	type1	predicted	The farmer knows the editor because she is really famous.	6
72	36	type1	unpredicted	The farmer knows the editor because he is really famous.	6
73	37	type1	predicted	The analyst awkwardly ran into the attendant who had messed up his order.	11
74	37	type1	unpredicted	The analyst awkwardly ran into the attendant who had messed up her order.	11
75	38	type1	predicted	The analyst awkwardly ran into the attendant who kept raising her voice with customers.	10
76	38	type1	unpredicted	The analyst awkwardly ran into the attendant who kept raising his voice with customers.	10
77	39	type1	predicted	The farmer demanded more bread from the baker because he was hungry.	9
78	39	type1	unpredicted	The farmer demanded more bread from the baker because she was hungry.	9
79	40	type1	predicted	The farmer demanded more bread from the baker because she raised the prices unfairly.	9
80	40	type1	unpredicted	The farmer demanded more bread from the baker because he raised the prices unfairly.	9
81	41	type1	predicted	The guard asked the cashier to be more careful because he saw a dangerous person.	10
82	41	type1	unpredicted	The guard asked the cashier to be more careful because she saw a dangerous person.	10
