	model	type	pairid	expected	unexpected	diff	acc
0	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	1	0.0450733862817287	0.0469234846532344	-0.0018500983715056957	True
1	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	2	0.0340221226215362	0.0379167236387729	-0.0038946010172367027	True
2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	3	0.0233144331723451	0.0246434267610311	-0.0013289935886859998	True
3	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	4	0.0227154195308685	0.0182681065052747	0.004447313025593799	False
4	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	5	0.0113095063716173	0.0170624013990163	-0.005752895027399001	True
5	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	6	0.0455258823931217	0.0343311615288257	0.011194720864296001	False
6	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	7	0.0303108301013708	0.0304500982165336	-0.00013926811516279738	True
7	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	8	0.0321439541876316	0.0271915942430496	0.004952359944581999	False
8	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	9	0.0217446889728307	0.0268209259957075	-0.005076237022876802	True
9	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	10	0.0452262349426746	0.0396851673722267	0.005541067570447901	False
10	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	11	0.1542899906635284	0.1924884915351867	-0.038198500871658325	True
11	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	12	0.1058260425925254	0.0889827683568	0.016843274235725403	False
12	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	13	0.0717029348015785	0.0876200050115585	-0.01591707020998001	True
13	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	14	0.8239158987998962	0.7134836316108704	0.11043226718902588	False
14	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	15	0.0362807847559452	0.0416822098195552	-0.005401425063610001	True
15	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	16	0.0737204030156135	0.0775373056530952	-0.0038169026374817033	True
16	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	17	0.016390049830079	0.0201111603528261	-0.0037211105227471022	True
17	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	18	0.0418192110955715	0.0443242378532886	-0.002505026757717105	True
18	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	19	0.1509013026952743	0.1488196104764938	0.00208169221878049	False
19	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	20	0.0087816547602415	0.0084691438823938	0.00031251087784769926	False
20	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	21	0.0503950491547584	0.0561125949025154	-0.005717545747757	True
21	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	22	0.0386276729404926	0.0372813418507576	0.0013463310897350034	False
22	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	23	0.040787860751152	0.0365117043256759	0.004276156425476095	False
23	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	type1	24	0.0434619039297103	0.0389045923948287	0.004557311534881599	False
