token	sentid	word	wordpos	model	tokenizer	punctuation	prob	surp
the	1	The	0	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	False	0.9808299541473389	0.02792505919933319
jan	1	janitor	1	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	False	0.0010679637780413032	9.87092113494873
##itor	1	janitor	1	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	False	0.9999943971633911	8.083161446847953e-06
rep	1	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	False	0.0005696539883501828	10.777626037597656
##rima	1	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	False	0.001231077709235251	9.665862083435059
##nded	1	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	False	0.9842604994773865	0.02288792096078396
the	1	the	3	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	False	0.9972422122955322	0.0039841472171247005
account	1	accountant	4	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	False	0.011674248613417149	6.420526504516602
##ant	1	accountant	4	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	False	0.9951047897338867	0.00707963714376092
because	1	because	5	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	False	0.9692404866218567	0.045073386281728745
she	1	she	6	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	False	0.46310022473335266	1.1106035709381104
made	1	made	7	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	False	0.971487820148468	0.041732169687747955
a	1	a	8	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	False	0.9446430802345276	0.08215878903865814
mistake	1	mistake	9	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	False	0.15831400454044342	2.6591391563415527
fil	1	filing	10	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	False	1.3170322290534386e-06	19.534276962280273
##ing	1	filing	10	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	False	0.9810452461242676	0.027608398348093033
paper	1	paperwork	11	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	False	0.0011172046652063727	9.805891036987305
##work	1	paperwork	11	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	False	0.9315487742424011	0.10229676216840744
.	1	.	12	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	True	0.9974529147148132	0.0036793446633964777
the	2	The	0	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	False	0.9803426861763	0.028641963377594948
jan	2	janitor	1	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasHE	False	0.0010567201534286141	9.886190414428711
