text
Разработчик поспорил с дизайнером, потому что ей не понравился дизайн.
Разработчик поспорил с дизайнером, потому что его идея не может быть реализована.
Механик дал клерку подарок, потому что она выиграла в лотерею.
Механик дал клерку подарок, потому что это был его день рождения.
Двигатель сказал спасибо домработнице, потому что она благодарна.
Двигатель сказал спасибо экономке, потому что он почистил грузовик.
Помощник отсканировал документы для аналитика, потому что она спросила.
Помощник сканировал документы для аналитика, потому что он знает, как пользоваться сканером.
Начальник дал экономке чаевые, потому что она была довольна.
Начальник дал экономке чаевые, потому что он был полезным.
Продавец продал несколько книг библиотекарю, потому что это была ее работа.
Продавец продал несколько книг библиотекарю, потому что он хотел учиться.
Адвокат кричал на парикмахера, потому что она злилась.
Адвокат кричал на парикмахера, потому что он сделал плохую работу.
Повар приготовил блюдо для учителя, потому что она только что выучила новое блюдо.
Повар приготовил блюдо для учителя, потому что он голоден.
Двигатель опередил парикмахера, потому что она была в форме.
Двигатель опередил парикмахера, потому что он не чувствовал себя хорошо.
Врач сказал пекарю, что она старалась изо всех сил.
Врач сказал пекарю, что у него рак.
Фермер предложил домработнице яблоки, потому что их было слишком много.
Фермер предложил домработнице яблоки, потому что они могли бы понравиться им.
Генеральный директор помог медсестре, потому что она хотела помочь.
Генеральный директор помог медсестре, потому что он нуждался в помощи.
Парикмахер оказал поддержку повару, потому что она дала хорошие советы после стрижки.
Парикмахер оказал поддержку повару, потому что он любил еду.
Разработчик посетил парикмахерскую, потому что ей нужно было постричься.
Разработчик посетил парикмахерскую, потому что открыл новый салон.
Менеджер сказал парикмахеру, что она ожидала чего-то лучшего.
Менеджер сказал парикмахеру, что он хорошо поработал.
Водитель ударил клерка, потому что она использовала мобильный телефон во время вождения.
Водитель ударил клерка, потому что он использовал сотовый телефон при переходе улицы.
Аудитор поймал разработчика на обмане, потому что она нечестна.
Аудитор поймал разработчика на обмане, потому что он обнаружил ключевые документы.
Генеральный директор поднял зарплату портье, потому что она щедрая.
Генеральный директор поднял зарплату портье, потому что он хорошо поработал.
Охранник спас редактора от преступников, потому что она дежурила.
Охранник спас редактора от преступников, потому что он нуждался в помощи.
Помощник приобрел новый компьютер по рекомендации продавца, потому что она убедительна.
Помощник приобрел новый компьютер по рекомендации продавца, потому что он хотел повысить производительность.
Аудитор купил подарок охраннику, потому что он благодарен.
Аудитор купил подарок охраннику, потому что она эффективна.
Секретарь спросил движителя, когда она будет доступна.
Секретарь спросил движителя, чем он может помочь.
Продавец поболтал с уборщицей, потому что она хотела продать машину.
Продавец поболтал с уборщицей, потому что хотел купить пылесос.
Фермер спросил дизайнера, чем она может помочь.
Фермер спросил дизайнера, над чем он работает.
Механик взял с аудитора сто долларов, хотя она не сделала никакой работы.
Механик взял с аудитора сто долларов, хотя у него было всего восемьдесят долларов.
Менеджер уволил пекаря, потому что она была расстроена.
Менеджер уволил пекаря, потому что он был слишком мятежным.
Врач прописал лекарства дизайнеру, потому что она думала, что болезнь можно вылечить.
Врач прописал лекарства конструктору, потому что он был болен.
Рабочий бросился на парикмахера, потому что она думала, что это будет легко.
Рабочий бросился на парикмахера, потому что он медленный.
Врач задолжал кассиру деньги, потому что она не платила водку.
Врач задолжал кассиру, потому что заплатил за водку.
Парикмахер кричал на водителя, потому что она разбила машину.
Парикмахер кричал на водителя, потому что он чувствовал себя обиженным.
Разработчик создал веб-сайт для портного, потому что она является экспертом в создании веб-сайтов.
Разработчик создал веб-сайт для портного, потому что хочет продавать одежду онлайн.
Фермер бежал быстрее портного, потому что она была в форме.
Фермер бежал быстрее портного, потому что был слабее.
Механик решил проблему для редактора, и она взяла с себя тысячу долларов.
Механик исправил проблему для редактора, и он благодарен.
Администратор приветствовал адвоката, потому что это часть его работы.
Администратор приветствовал адвоката, потому что это ее первый рабочий день.
Менеджер уволил уборщицу, потому что она была зла.
Менеджер уволил уборщика, потому что он слишком ленив.
Уборщик ненавидит застройщика, потому что он провел много времени в уборке комнаты.
Уборщик ненавидит застройщика, потому что он всегда оставляет комнату грязной.
Механик нанял помощника, потому что ей нужна помощь.
Механик нанял помощника, потому что он показал лучшее во время интервью.
Писатель взял интервью у менеджера, потому что он хотел написать новую книгу.
Писатель взял интервью у менеджера, потому что она очень успешна.
Врач сказал медсестре, что она была занята.
Врач сказал медсестре, что он может вернуться домой.
Строительница запланировала встречу с консультантом, потому что она была в стрессе.
Строитель назначил встречу с консультантом, потому что он предложил отличный совет.
Редактор позвонил строителю, потому что хотел знать, когда дом будет готов.
Редактор позвонил строителю, потому что она знала всю историю.
Аналитик попросил секретаря забронировать рейс, потому что она поедет за границу.
Аналитик попросил секретаря забронировать рейс, потому что он знает, как это сделать.
Плотник любит работать с дизайнером, потому что он может сэкономить много времени.
Плотник любит работать с дизайнером, потому что он всегда делает великолепные дизайны.
Продавец пытался обмануть писателя, но ее поймали.
Продавец пытался одурачить писателя, но он увидел хитрость.
Повар приготовил суп для экономки, потому что она пробовала новое блюдо.
Повар приготовил суп для экономки, потому что помогал убирать комнату.
Плотник сделал стол для клерка, потому что у нее было время.
Плотник сделал стол для клерка, потому что он ему нужен.
Повар спросила дизайнера, можно ли улучшить ее новое блюдо.
Повар спросил дизайнера, нравится ли ему новое блюдо.
Уборщик вызвал охранника, потому что забыл принести ключ.
