token	sentid	word	wordpos	model	tokenizer	punctuation	prob	surp
the	1	The	0	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.9876781105995178	0.01788715273141861
jan	1	janitor	1	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.00034296035300940275	11.50967025756836
##itor	1	janitor	1	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.9999420642852783	8.358115155715495e-05
rep	1	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.0012452376540750265	9.64936351776123
##rima	1	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.000889899383764714	10.13407039642334
##nded	1	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.9818609952926636	0.026409296318888664
the	1	the	3	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.99704509973526	0.00426933728158474
account	1	accountant	4	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.006364344619214535	7.295772552490234
##ant	1	accountant	4	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.9941796064376831	0.008421611040830612
because	1	because	5	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.9548766016960144	0.0666138082742691
she	1	she	6	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.8470022082328796	0.23956239223480225
made	1	made	7	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.9854663610458374	0.021121464669704437
a	1	a	8	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.9260919094085693	0.11077273637056351
mistake	1	mistake	9	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.0012762169353663921	9.613910675048828
fil	1	filing	10	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	1.2311438695178367e-06	19.631568908691406
##ing	1	filing	10	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.9955021739006042	0.006503633223474026
paper	1	paperwork	11	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.000528017058968544	10.887127876281738
##work	1	paperwork	11	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.8894234299659729	0.16905763745307922
.	1	.	12	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	True	0.997520387172699	0.0035817325115203857
the	2	The	0	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.9887176752090454	0.016369475051760674
jan	2	janitor	1	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.00034635240444913507	11.495471954345703
##itor	2	janitor	1	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.9999485015869141	7.429459219565615e-05
rep	2	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.0011538354447111487	9.759346961975098
##rima	2	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.0004841578484047204	11.012234687805176
##nded	2	reprimanded	2	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.9786428213119507	0.031145719811320305
the	2	the	3	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.9965254664421082	0.0050213998183608055
account	2	accountant	4	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.006579483859241009	7.247809886932373
##ant	2	accountant	4	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.99566251039505	0.006271283607929945
because	2	because	5	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.9600438475608826	0.058827757835388184
he	2	he	6	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.13726867735385895	2.8649256229400635
made	2	made	7	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.9870346188545227	0.01882738061249256
a	2	a	8	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.9161843657493591	0.12629012763500214
mistake	2	mistake	9	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.0013508041156455874	9.531965255737305
fil	2	filing	10	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	1.3852053371010697e-06	19.461467742919922
##ing	2	filing	10	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.9954490065574646	0.006580675486475229
paper	2	paperwork	11	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	/home/esuritis/NLP/FINAL/Cross-lingual-LLM-gender-bias/models/UnbiasRU	False	0.0004928997368551791	10.986417770385742
